DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
1/11/18;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);01 ;Mense;0;0
1/11/18;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01508;Milano - Università Vita-Salute San Raffaele;01 ;Mense;0;0
1/11/18;01508;Milano - Università Vita-Salute San Raffaele;02 ;Residenze direttamente gestite dall'istituto;2;139
